4.381674,1.096216,FOLLOW,FORWARD
4.389466,1.094403,FOLLOW,FORWARD
4.397258,1.092591,FOLLOW,FORWARD
4.405050,1.090778,FOLLOW,FORWARD
4.412842,1.088965,FOLLOW,FORWARD
4.420634,1.087153,FOLLOW,FORWARD
4.428426,1.085340,FOLLOW,FORWARD
4.436218,1.083527,FOLLOW,FORWARD
4.444010,1.081715,FOLLOW,FORWARD
4.451802,1.079902,FOLLOW,FORWARD
4.459594,1.078089,FOLLOW,FORWARD
4.467385,1.076276,FOLLOW,FORWARD
4.475177,1.074464,FOLLOW,FORWARD
4.482969,1.072651,FOLLOW,FORWARD
4.490761,1.070838,FOLLOW,FORWARD
4.498553,1.069026,FOLLOW,FORWARD
4.506345,1.067213,FOLLOW,FORWARD
4.514137,1.065400,FOLLOW,FORWARD
4.521929,1.063588,FOLLOW,FORWARD
4.529721,1.061775,FOLLOW,FORWARD
4.537513,1.059962,FOLLOW,FORWARD
4.545305,1.058150,FOLLOW,FORWARD
4.553097,1.056337,FOLLOW,FORWARD
4.560889,1.054524,FOLLOW,FORWARD
4.568681,1.052711,FOLLOW,FORWARD
4.576472,1.050899,FOLLOW,FORWARD
4.584264,1.049086,FOLLOW,FORWARD
4.592056,1.047273,FOLLOW,FORWARD
4.599848,1.045461,FOLLOW,FORWARD
4.607640,1.043648,FOLLOW,FORWARD
4.615432,1.041835,FOLLOW,FORWARD
4.623224,1.040023,FOLLOW,FORWARD
4.631016,1.038210,FOLLOW,FORWARD
4.638808,1.036397,FOLLOW,FORWARD
4.646600,1.034585,FOLLOW,FORWARD
4.654392,1.032772,FOLLOW,FORWARD
4.662184,1.030959,FOLLOW,FORWARD
4.669976,1.029146,FOLLOW,FORWARD
4.677768,1.027334,FOLLOW,FORWARD
4.685559,1.025521,FOLLOW,FORWARD
4.693351,1.023708,FOLLOW,FORWARD
4.701143,1.021896,FOLLOW,FORWARD
4.708935,1.020083,FOLLOW,FORWARD
4.716727,1.018270,FOLLOW,FORWARD
4.724519,1.016458,FOLLOW,FORWARD
4.732311,1.014645,FOLLOW,FORWARD
4.740103,1.012832,FOLLOW,FORWARD
4.747895,1.011020,FOLLOW,FORWARD
4.755687,1.009207,FOLLOW,FORWARD
4.763479,1.007394,FOLLOW,FORWARD
4.771271,1.005582,FOLLOW,FORWARD
4.779063,1.003769,FOLLOW,FORWARD
4.786855,1.001956,FOLLOW,FORWARD
4.794646,1.000143,FOLLOW,FORWARD
4.802438,0.998331,FOLLOW,FORWARD
4.810230,0.996518,FOLLOW,FORWARD
4.818022,0.994705,FOLLOW,FORWARD
4.825814,0.992893,FOLLOW,FORWARD
4.833606,0.991080,FOLLOW,FORWARD
4.841398,0.989267,FOLLOW,FORWARD
4.849190,0.987455,FOLLOW,FORWARD
4.856982,0.985642,FOLLOW,FORWARD
4.864774,0.983829,FOLLOW,FORWARD
4.872566,0.982017,FOLLOW,FORWARD
