1.435742,0.443000,TARGET_FOLLOW,FOLLOW
1.439824,0.435899,TARGET_FOLLOW,FOLLOW
1.443769,0.428981,TARGET_FOLLOW,FOLLOW
1.447665,0.422062,TARGET_FOLLOW,FOLLOW
1.451536,0.415109,TARGET_FOLLOW,FOLLOW
1.455385,0.408136,TARGET_FOLLOW,FOLLOW
1.459222,0.401144,TARGET_FOLLOW,FOLLOW
1.463053,0.394130,TARGET_FOLLOW,FOLLOW
1.466875,0.387103,TARGET_FOLLOW,FOLLOW
1.470684,0.380077,TARGET_FOLLOW,FOLLOW
1.474456,0.373103,TARGET_FOLLOW,FOLLOW
1.478178,0.366203,TARGET_FOLLOW,FOLLOW
1.481863,0.359391,TARGET_FOLLOW,FOLLOW
1.485549,0.352621,TARGET_FOLLOW,FOLLOW
1.489219,0.345904,TARGET_FOLLOW,FOLLOW
1.492856,0.339249,TARGET_FOLLOW,FOLLOW
1.496476,0.332645,TARGET_FOLLOW,FOLLOW
1.500067,0.326105,TARGET_FOLLOW,FOLLOW
1.503649,0.319610,TARGET_FOLLOW,FOLLOW
1.507223,0.313143,TARGET_FOLLOW,FOLLOW
1.510787,0.306725,TARGET_FOLLOW,FOLLOW
1.514359,0.300335,TARGET_FOLLOW,FOLLOW
1.517927,0.293971,TARGET_FOLLOW,FOLLOW
1.521471,0.287655,TARGET_FOLLOW,FOLLOW
1.525010,0.281365,TARGET_FOLLOW,FOLLOW
1.528535,0.275114,TARGET_FOLLOW,FOLLOW
1.532063,0.268885,TARGET_FOLLOW,FOLLOW
1.535580,0.262693,TARGET_FOLLOW,FOLLOW
1.539103,0.256522,TARGET_FOLLOW,FOLLOW
1.542616,0.250390,TARGET_FOLLOW,FOLLOW
1.546134,0.244278,TARGET_FOLLOW,FOLLOW
1.549659,0.238176,TARGET_FOLLOW,FOLLOW
1.553162,0.232124,TARGET_FOLLOW,FOLLOW
1.556671,0.226090,TARGET_FOLLOW,FOLLOW
1.560167,0.220108,TARGET_FOLLOW,FOLLOW
1.563678,0.214143,TARGET_FOLLOW,FOLLOW
1.567169,0.208251,TARGET_FOLLOW,FOLLOW
1.570635,0.202444,TARGET_FOLLOW,FOLLOW
1.574088,0.196712,TARGET_FOLLOW,FOLLOW
1.577536,0.191048,TARGET_FOLLOW,FOLLOW
1.580984,0.185444,TARGET_FOLLOW,FOLLOW
1.584433,0.179896,TARGET_FOLLOW,FOLLOW
1.587883,0.174400,TARGET_FOLLOW,FOLLOW
1.591336,0.168954,TARGET_FOLLOW,FOLLOW
1.594799,0.163546,TARGET_FOLLOW,FOLLOW
1.598282,0.158158,TARGET_FOLLOW,FOLLOW
1.601719,0.152895,TARGET_FOLLOW,FOLLOW
1.605122,0.147753,TARGET_FOLLOW,FOLLOW
1.608523,0.142692,TARGET_FOLLOW,FOLLOW
1.611941,0.137689,TARGET_FOLLOW,FOLLOW
1.615383,0.132729,TARGET_FOLLOW,FOLLOW
1.618854,0.127798,TARGET_FOLLOW,FOLLOW
1.622362,0.122883,TARGET_FOLLOW,FOLLOW
1.625908,0.117979,TARGET_FOLLOW,FOLLOW
1.629425,0.113178,TARGET_FOLLOW,FOLLOW
1.632935,0.108462,TARGET_FOLLOW,FOLLOW
1.636482,0.103785,TARGET_FOLLOW,FOLLOW
1.640091,0.099117,TARGET_FOLLOW,FOLLOW
1.643776,0.094440,TARGET_FOLLOW,FOLLOW
1.647542,0.089747,TARGET_FOLLOW,FOLLOW
1.651358,0.085070,TARGET_FOLLOW,FOLLOW
1.655150,0.080494,TARGET_FOLLOW,FOLLOW
1.658948,0.075993,TARGET_FOLLOW,FOLLOW
1.662800,0.071518,TARGET_FOLLOW,FOLLOW
1.666739,0.067039,TARGET_FOLLOW,FOLLOW
1.670777,0.062538,TARGET_FOLLOW,FOLLOW
1.674871,0.058059,TARGET_FOLLOW,FOLLOW
1.678947,0.053672,TARGET_FOLLOW,FOLLOW
1.683039,0.049352,TARGET_FOLLOW,FOLLOW
1.687205,0.045046,TARGET_FOLLOW,FOLLOW
1.691477,0.040726,TARGET_FOLLOW,FOLLOW
1.695868,0.036375,TARGET_FOLLOW,FOLLOW
1.700320,0.032047,TARGET_FOLLOW,FOLLOW
1.704760,0.027801,TARGET_FOLLOW,FOLLOW
1.709227,0.023611,TARGET_FOLLOW,FOLLOW
1.713782,0.019429,TARGET_FOLLOW,FOLLOW
1.718460,0.015227,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.723658,0.010654,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.726091,0.004164,TARGET_FOLLOW,FOLLOW
1.725000,-0.000741,TARGET_FOLLOW,FOLLOW
1.721514,-0.003843,TARGET_FOLLOW,FOLLOW
1.714801,-0.005515,TARGET_FOLLOW,FOLLOW
1.708528,-0.010506,TARGET_FOLLOW,FOLLOW
1.705880,-0.018979,TARGET_FOLLOW,FOLLOW
1.707667,-0.028313,TARGET_FOLLOW,FOLLOW
1.712397,-0.036715,TARGET_FOLLOW,FOLLOW
1.718625,-0.043914,TARGET_FOLLOW,FOLLOW
1.725607,-0.050186,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.736317,-0.058316,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.739841,-0.065028,TARGET_FOLLOW,FOLLOW
1.739369,-0.069063,TARGET_FOLLOW,FOLLOW
1.736812,-0.071744,TARGET_FOLLOW,FOLLOW
1.727375,-0.074128,TARGET_FOLLOW,FOLLOW
1.718243,-0.081503,TARGET_FOLLOW,FOLLOW
1.714388,-0.094153,TARGET_FOLLOW,FOLLOW
1.722662,-0.126208,TARGET_FOLLOW,FOLLOW
1.730059,-0.142749,TARGET_FOLLOW,FOLLOW
1.738685,-0.152140,TARGET_FOLLOW,FOLLOW
1.748847,-0.159561,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.755465,-0.163266,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.759368,-0.168982,TARGET_FOLLOW,FOLLOW
1.759546,-0.172814,TARGET_FOLLOW,FOLLOW
1.757554,-0.175700,TARGET_FOLLOW,FOLLOW
1.744705,-0.179986,TARGET_FOLLOW,FOLLOW
1.731988,-0.191747,TARGET_FOLLOW,FOLLOW
1.727266,-0.210887,TARGET_FOLLOW,FOLLOW
1.739327,-0.244046,TARGET_FOLLOW,FOLLOW
1.752683,-0.264027,TARGET_FOLLOW,FOLLOW
1.768911,-0.276623,TARGET_FOLLOW,FOLLOW
1.786765,-0.285224,TARGET_FOLLOW,FOLLOW
1.804985,-0.291144,TARGET_FOLLOW,FOLLOW
1.822689,-0.295318,TARGET_FOLLOW,FOLLOW
1.839705,-0.298394,TARGET_FOLLOW,FOLLOW
1.856074,-0.300777,TARGET_FOLLOW,FOLLOW
1.871468,-0.302672,TARGET_FOLLOW,FOLLOW
1.886192,-0.304281,TARGET_FOLLOW,FOLLOW
1.900476,-0.305688,TARGET_FOLLOW,FOLLOW
1.914438,-0.306940,TARGET_FOLLOW,FOLLOW
1.928121,-0.308077,TARGET_FOLLOW,FOLLOW
1.941538,-0.309138,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.949144,-0.309727,TARGET_FOLLOW,FOLLOW
1.959731,-0.316864,TARGET_FOLLOW,FOLLOW
1.971209,-0.323250,TARGET_FOLLOW,FOLLOW
1.983381,-0.327622,TARGET_FOLLOW,FOLLOW
1.995844,-0.330544,TARGET_FOLLOW,FOLLOW
2.008000,-0.332483,TARGET_FOLLOW,FOLLOW
2.019955,-0.333846,TARGET_FOLLOW,FOLLOW
